stem,frequency,category,confidence,meaning_en,in_canonical_lexicon,example_words
sthd,14,UNLISTED,UNCLASSIFIED,?,False,
stšeo,14,UNLISTED,UNCLASSIFIED,?,False,
cstheo,14,UNLISTED,UNCLASSIFIED,?,False,
sthe,14,UNLISTED,UNCLASSIFIED,?,False,
ditr,14,UNLISTED,UNCLASSIFIED,?,False,
list,13,plant_part,CONFIRMED,leaf,True,plisteor(2);plistedi(1);diodaiilisthi(1)
itror,13,UNLISTED,UNCLASSIFIED,?,False,
dhe,13,UNLISTED,UNCLASSIFIED,?,False,
csthor,13,UNLISTED,UNCLASSIFIED,?,False,
ohor,13,UNLISTED,UNCLASSIFIED,?,False,
oee,13,UNLISTED,UNCLASSIFIED,?,False,
sš,13,UNLISTED,UNCLASSIFIED,?,False,
oror,13,UNLISTED,UNCLASSIFIED,?,False,
la,13,UNLISTED,UNCLASSIFIED,?,False,
treor,13,UNLISTED,UNCLASSIFIED,?,False,
itre,13,UNLISTED,UNCLASSIFIED,?,False,
trhed,13,UNLISTED,UNCLASSIFIED,?,False,
trhod,13,UNLISTED,UNCLASSIFIED,?,False,
ald,13,UNLISTED,UNCLASSIFIED,?,False,
dst,13,UNLISTED,UNCLASSIFIED,?,False,
lo,13,UNLISTED,UNCLASSIFIED,?,False,
ld,13,UNLISTED,UNCLASSIFIED,?,False,
steš,13,UNLISTED,UNCLASSIFIED,?,False,
trol,13,UNLISTED,UNCLASSIFIED,?,False,
istor,12,UNLISTED,UNCLASSIFIED,?,False,
itra,12,UNLISTED,UNCLASSIFIED,?,False,
ail,12,UNLISTED,UNCLASSIFIED,?,False,
alor,12,UNLISTED,UNCLASSIFIED,?,False,
sst,12,UNLISTED,UNCLASSIFIED,?,False,
oro,12,UNLISTED,UNCLASSIFIED,?,False,
plhd,12,UNLISTED,UNCLASSIFIED,?,False,
rai,12,UNLISTED,UNCLASSIFIED,?,False,
di,12,UNLISTED,UNCLASSIFIED,?,False,
stalh,12,UNLISTED,UNCLASSIFIED,?,False,
trar,12,UNLISTED,UNCLASSIFIED,?,False,
ast,12,UNLISTED,UNCLASSIFIED,?,False,
dol,12,UNLISTED,UNCLASSIFIED,?,False,
de,12,UNLISTED,UNCLASSIFIED,?,False,
il,12,UNLISTED,UNCLASSIFIED,?,False,
itrhor,11,UNLISTED,UNCLASSIFIED,?,False,
dšo,11,UNLISTED,UNCLASSIFIED,?,False,
isted,11,UNLISTED,UNCLASSIFIED,?,False,
kest,11,UNLISTED,UNCLASSIFIED,?,False,
išeo,11,UNLISTED,UNCLASSIFIED,?,False,
stee,11,UNLISTED,UNCLASSIFIED,?,False,
oeo,11,UNLISTED,UNCLASSIFIED,?,False,
alš,11,UNLISTED,UNCLASSIFIED,?,False,
ocplh,11,UNLISTED,UNCLASSIFIED,?,False,
pld,11,UNLISTED,UNCLASSIFIED,?,False,
trhd,11,UNLISTED,UNCLASSIFIED,?,False,
plo,11,UNLISTED,UNCLASSIFIED,?,False,
ltr,11,UNLISTED,UNCLASSIFIED,?,False,
cplho,11,UNLISTED,UNCLASSIFIED,?,False,
darar,10,general,CONFIRMED,da + ar + ar,True,darar(3);hstaidararal(1);hdarar(1)
dšor,10,UNLISTED,UNCLASSIFIED,?,False,
olr,10,UNLISTED,UNCLASSIFIED,?,False,
odor,10,UNLISTED,UNCLASSIFIED,?,False,
treda,10,UNLISTED,UNCLASSIFIED,?,False,
stheor,10,UNLISTED,UNCLASSIFIED,?,False,
ea,10,UNLISTED,UNCLASSIFIED,?,False,
plho,10,UNLISTED,UNCLASSIFIED,?,False,
opla,10,UNLISTED,UNCLASSIFIED,?,False,
iho,10,UNLISTED,UNCLASSIFIED,?,False,
istho,10,UNLISTED,UNCLASSIFIED,?,False,
dhed,10,UNLISTED,UNCLASSIFIED,?,False,
ecsth,10,UNLISTED,UNCLASSIFIED,?,False,
itrho,10,UNLISTED,UNCLASSIFIED,?,False,
rl,10,UNLISTED,UNCLASSIFIED,?,False,
kora,6,plant_part,CONFIRMED,bark,True,korain(5);korar(1)
shor,5,action,CONFIRMED,soak/infuse,True,shor(3);haiinshorain(1);sishor(1)
ter,5,action,MISCELLANY,grind/crush,True,koster(1);sterodal(1);oster(1)
šeom,4,grammar,CANDIDATE,with the [instrument],True,šeom(4)
ana,3,latin_pharma,CONFIRMED,of each equal parts,True,tranal(1);plolanar(1);istanam(1)
man,3,timing,MISCELLANY,in the morning,True,aman(2);otrostaiman(1)
aloe,2,ingredient,CONFIRMED,aloe,True,xaloees(1);aloes(1)
amar,2,action,CANDIDATE,bitter herb,True,heamar(2)
arg,2,ingredient,CONFIRMED,silver,True,disarg(1);arg(1)
col,2,action,MISCELLANY,strain/filter,True,oldrvxststprtrricoldrvxstmprtrricoldrvxststpltrricoldrvxststpltrricrn(1);istcol(1)
dolor,2,latin_pharma,CONFIRMED,pain,True,dolor(2)
kair,2,action,CANDIDATE,fire/heat,True,kairain(1);kairal(1)
salp,2,ingredient,CONFIRMED,saltpeter,True,ltrhsalplhdar(1);salpr(1)
aloin,1,ingredient,CANDIDATE,aloe extract/aloin,True,kaloin(1)
anis,1,ingredient,CONFIRMED,anise,True,prodanistš(1)
axor,1,general,CONFIRMED,Lard (variant),True,axor(1)
dors,1,body_part,MISCELLANY,back,True,dorsthesti(1)
kal,1,equipment,CANDIDATE,cauldron,True,kaloin(1)
mamm,1,body_part,MISCELLANY,breast,True,damamm(1)
plr,1,preparation,CANDIDATE,powder/pulverize,True,plroair(1)
rana,1,body,CONFIRMED,wound,True,tranal(1)
topl,1,grammar,CANDIDATE,warm/hot,True,kostopli(1)
absint,0,ingredient,MISCELLANY,wormwood,True,
acet,0,ingredient,MISCELLANY,vinegar,True,
add,0,action,MISCELLANY,add/include,True,
adustio,0,condition,MISCELLANY,burn,True,
alum,0,ingredient,CONFIRMED,alum,True,
ambra,0,general,CONFIRMED,Ambergris,True,
amyl,0,ingredient,MISCELLANY,starch,True,
appon,0,action,MISCELLANY,apply/place on,True,
asaf,0,general,CANDIDATE,Asafoetida,True,
asafor,0,general,CANDIDATE,Asafoetida (variant),True,
asafot,0,general,CANDIDATE,Asafoetida (full),True,
aur,0,body_part,MISCELLANY,ear,True,
axun,0,general,CONFIRMED,Lard / animal fat,True,
axung,0,ingredient,MISCELLANY,pig fat/lard,True,
bib,0,action,MISCELLANY,drink/consume,True,
bol,0,grammar,CANDIDATE,pain/ache,True,
calc,0,action,CANDIDATE,lime/ite,True,
calid,0,modifier,MISCELLANY,warm/hot,True,
calide,0,general,CONFIRMED,warm,True,
camph,0,ingredient,CONFIRMED,camphor,True,
canel,0,ingredient,CONFIRMED,cinnamon,True,
canol,0,ingredient,CONFIRMED,cinnamon,True,
caput,0,body_part,MISCELLANY,head,True,
case,0,general,CONFIRMED,Cheese / curd,True,
catapl,0,preparation,MISCELLANY,poultice,True,
cer,0,ingredient,MISCELLANY,wax,True,
cera,0,general,CONFIRMED,Wax,True,
chal,0,ingredient,CONFIRMED,flour/grain,True,
char,0,action,CANDIDATE,fire/heat,True,
chol,0,ingredient,CONFIRMED,flour/grain,True,
cholal,0,general,CONFIRMED,ch + ol + al,True,
chor,0,action,CONFIRMED,cook/combine,True,
cinam,0,spice,CONFIRMED,cinnamon,True,
ciner,0,ingredient,MISCELLANY,ash,True,
coclear,0,measurement,MISCELLANY,spoonful,True,
comed,0,action,MISCELLANY,eat/consume,True,
confect,0,preparation,MISCELLANY,confection/electuary,True,
contund,0,action,MISCELLANY,crush/pound,True,
copr,0,ingredient,CONFIRMED,copper/verdigris,True,
cor,0,body_part,MISCELLANY,heart,True,
coral,0,general,CONFIRMED,Coral,True,
cori,0,ingredient,CONFIRMED,coriander,True,
cortic,0,ingredient,MISCELLANY,bark/rind,True,
croc,0,ingredient,MISCELLANY,saffron,True,
cstr,0,preparation,CANDIDATE,concentrated preparation,True,
ctrr,0,preparation,CANDIDATE,compound mixture,True,
cum,0,grammar,MISCELLANY,with,True,
cuper,0,general,CONFIRMED,Copper / verdigris,True,
cupr,0,ingredient,CONFIRMED,copper/verdigris,True,
cvijet,0,plant_part,CONFIRMED,flower,True,
decoct,0,preparation,MISCELLANY,decoction,True,
dent,0,body_part,MISCELLANY,tooth,True,
distil,0,action,MISCELLANY,distill,True,
dragm,0,measurement,MISCELLANY,dram (weight),True,
dysent,0,condition,MISCELLANY,dysentery,True,
edy,0,ingredient,CONFIRMED,root/prepared,True,
eey,0,preparation,CANDIDATE,distilled fluid,True,
emplast,0,preparation,MISCELLANY,plaster,True,
eoy,0,grammar,CANDIDATE,by/from that,True,
estr,0,preparation,CANDIDATE,plaster/poultice,True,
ey,0,preparation,CANDIDATE,liquid/fluid,True,
fac,0,body_part,MISCELLANY,face,True,
fair,0,general,CANDIDATE,Fire (variant),True,
fauces,0,body_part,MISCELLANY,throat/fauces,True,
febr,0,condition,MISCELLANY,fever,True,
fen,0,herb,CONFIRMED,fennel,True,
fenn,0,ingredient,CONFIRMED,fennel,True,
fer,0,ingredient,CONFIRMED,iron/filings,True,
fiat,0,general,CONFIRMED,let be made,True,
flor,0,ingredient,CONFIRMED,flower,True,
flux,0,condition,MISCELLANY,flux/flow,True,
fol,0,ingredient,MISCELLANY,leaf,True,
fric,0,action,MISCELLANY,rub/massage,True,
frigid,0,modifier,MISCELLANY,cold,True,
galb,0,ingredient,CONFIRMED,galbanum,True,
gargar,0,preparation,MISCELLANY,gargle,True,
genist,0,ingredient,CONFIRMED,genista broom,True,
ging,0,spice,CONFIRMED,ginger,True,
glav,0,body,CONFIRMED,head,True,
glava,0,Headache texts,CONFIRMED,caput,True,
glog,0,High,CONFIRMED,Crataegus spp.,True,
glyc,0,ingredient,MISCELLANY,licorice,True,
gor,0,grammar,CANDIDATE,burn/fire,True,
gorak,0,property,CONFIRMED,bitter,True,
gumm,0,ingredient,MISCELLANY,gum,True,
hepat,0,body_part,MISCELLANY,liver,True,
hern,0,condition,MISCELLANY,hernia,True,
hisop,0,herb,CONFIRMED,hyssop,True,
hlad,0,grammar,CANDIDATE,cold/cool,True,
hyss,0,ingredient,CONFIRMED,hyssop,True,
infund,0,action,MISCELLANY,infuse/steep,True,
instil,0,action,MISCELLANY,instill/drop in,True,
iunct,0,body_part,MISCELLANY,joint,True,
ivor,0,general,CONFIRMED,Ivory (dust),True,
jetr,0,body,CONFIRMED,liver,True,
k,0,general,CONFIRMED,vessel (short),True,
kamf,0,resin,CONFIRMED,camphor,True,
kar,0,action,CANDIDATE,fire/heat,True,
koža,0,Skin conditions,CONFIRMED,cutis,True,
krv,0,Bleeding recipes,CONFIRMED,sanguis,True,
kuhai,0,"kuša v belom vini kuhai",CONFIRMED,coque,True,
kuša,0,"kuša v belom vini kuhai" = cook sage in white wine,CONFIRMED,Salvia officinalis,True,
lac,0,ingredient,CONFIRMED,milk,True,
laco,0,general,CONFIRMED,Milk (extended),True,
lapis,0,condition,MISCELLANY,stone (kidney),True,
lav,0,action,MISCELLANY,wash/cleanse,True,
lingu,0,body_part,MISCELLANY,tongue,True,
lipa,0,High,CONFIRMED,Tilia spp.,True,
lstry,0,preparation,CANDIDATE,the root-prepared,True,
malv,0,ingredient,CONFIRMED,mallow,True,
mane,0,general,CONFIRMED,in the morning,True,
mast,0,ingredient,MISCELLANY,mastic,True,
matr,0,body_part,MISCELLANY,womb,True,
maži,0,"onem maži zubi" (smear teeth with it),CONFIRMED,unge,True,
mel,0,ingredient,CONFIRMED,honey,True,
melk,0,general,CANDIDATE,Butter / clarified fat,True,
membr,0,body_part,MISCELLANY,limb,True,
ment,0,ingredient,CONFIRMED,mint,True,
mir,0,grammar,CANDIDATE,peace/calm,True,
misc,0,action,MISCELLANY,mix/blend,True,
mok,0,grammar,CANDIDATE,wet/moist,True,
mokar,0,property,CONFIRMED,wet,True,
musc,0,general,CONFIRMED,Musk,True,
myr,0,ingredient,CONFIRMED,myrrh resin,True,
myron,0,ingredient,CONFIRMED,myrrh resin,True,
myrrh,0,general,CONFIRMED,Myrrh (full),True,
nard,0,general,CONFIRMED,Spikenard,True,
nardi,0,general,CONFIRMED,Spikenard (genitive),True,
nardor,0,general,CONFIRMED,Spikenard (extended),True,
nerv,0,body_part,MISCELLANY,nerve/sinew,True,
noct,0,timing,MISCELLANY,at night,True,
nov,0,grammar,CANDIDATE,new/fresh,True,
ocul,0,body_part,MISCELLANY,eye,True,
okal,0,equipment,CONFIRMED,pot/jar,True,
okaly,0,liquid,CONFIRMED,ok-al-y,True,
okar,0,equipment,CONFIRMED,pot/jar,True,
okary,0,liquid,CONFIRMED,ok-ar-y,True,
okeey,0,general,CONFIRMED,ok + ee + y,True,
oko,0,body,CONFIRMED,eye,True,
olib,0,ingredient,MISCELLANY,frankincense,True,
operi,0,Standard recipe verb,CONFIRMED,lava,True,
opop,0,ingredient,CONFIRMED,opopanax gum,True,
orolaly,0,latin_pharma,CONFIRMED,orally (adverb),True,
