page,line,raw_text,clean_text,avg_conf
201,3,"""""''   4..«2,.^«.!Ci-..T_J.   .-^--a^   ••' J. .n.-","4..2,..Ci-..T_J. .---a  J. .n.-",132.7058823529412
201,4,".-.J^.*? rfUvv^O   *-t«u,?   <'-<^   c«»dfa7",".-.J. rfUvvO -tu, - cdfa7",115.1590909090909
201,5,*,,54.0
202,1,y,y,0.0
202,2,"-'' '"": !",- :,113.88888888888889
202,3,tfr.rt,tfr.rt,49.833333333333336
202,4,ifil,ifil,74.5
203,1,.^i,.i,119.66666666666667
203,2,"'-V""ir ■^""'^'-^ c^tc,*,? ...J .tf«^«,^","-Vir - ctc,, ...J .tf,",112.02631578947368
203,3,"'* l»i „tQ -H.1&. jiri?^„ vK-^ 'f'l^ w^^^je.*,","li tQ -H.1. jiri vK- fl wje.,",105.52173913043478
204,1,::.r^.,::.r.,112.66666666666667
204,2,^;^,;,173.0
204,3,";■,; Ai~'-' *'''r^ „^'""*3' ""k JoZ",";,; Ai- r 3 k JoZ",93.6969696969697
204,4,"r&f2.r/^i^>^'«t'^""",rf2.r/it,91.72222222222223
204,5,j^,j,128.0
204,6,mi,mi,5.5
205,1,r,r,24.0
205,2,IK,IK,0.0
206,1,— ---^^,---,161.0
208,1,Br,Br,23.5
208,2,A.,A.,29.0
